Date,Afghanistan,Albania,Algeria
2003-09-30,292.11373873873873,290.9628308354592,219.19668419515045
2003-10-31,287.00728853853855,286.7414700255102,216.72911189015483
2003-11-30,277.7692067067067,283.8575414540816,210.9107873210634
2003-12-31,273.4847972972973,277.9187858737245,206.6700810692375
2004-01-31,274.0437625125125,275.69046954719386,206.5119595384166
2004-02-29,275.96915665665665,277.8619260204082,209.29409509202452
2004-03-31,282.98485985985985,280.6044323979592,211.376515483494
2004-04-30,287.2333583583584,285.3710738201531,214.3896801051709
2004-05-31,292.6628503503504,286.98214285714283,216.38018550978677
2004-06-30,296.00243993994,292.75362723214283,220.5020815074496
2004-07-31,296.98567317317315,295.4102758290816,221.5405346187555
2004-08-31,296.3927677677678,294.3809789540816,222.05979769208295
2004-09-30,292.2639514514515,291.32896205357144,218.4261795208881
2004-10-31,284.2207832832833,288.6320551658163,216.38217572304995
2004-11-30,281.8153465965966,281.7001953125,209.69998904469765
2004-12-31,274.3562937937938,279.6642219387755,207.3774101665206
2005-01-31,270.0562437437437,276.12765066964283,204.87182296231376
2005-02-28,271.4914914914915,275.10445232780614,206.96892345895407
2005-03-31,280.219532032032,279.8825534119898,211.9525270230792
2005-04-30,284.66622872872875,283.846998565051,215.0992550394391
2005-05-31,289.0317817817818,289.6355229591837,219.22306821501607
2005-06-30,295.8152527527528,292.2311463647959,220.5608932223196
2005-07-31,298.2679241741742,295.3142538265306,222.84078293894245
2005-08-31,296.4936811811812,293.91938376913265,221.74152789950332
2005-09-30,293.769019019019,291.5228794642857,219.19043967280163
2005-10-31,286.7947947947948,286.3492107780612,216.13108019281333
2005-11-30,278.6112987987988,280.8501275510204,210.8757486123284
2005-12-31,274.9011198698699,277.7090840242347,206.7512598597721
2006-01-31,270.7057682682683,274.3816366390306,205.26803973122992
2006-02-28,278.61821196196195,276.59099968112247,207.6956982179375
2006-03-31,280.8530718218218,280.1944555165816,211.7858603564125
2006-04-30,286.63482232232235,285.27094626913265,216.0896691498685
2006-05-31,294.70232732732734,289.19887994260205,218.58296815658775
2006-06-30,296.3759384384384,292.3445073341837,220.8581653520304
2006-07-31,298.9460085085085,295.39640465561223,221.97085889570556
2006-08-31,297.54366866866866,294.3468391262755,222.02908632778264
2006-09-30,292.2632007007007,291.6529217155612,218.70364081215308
2006-10-31,289.3340840840841,287.8388472576531,215.83652862985684
2006-11-30,279.7615740740741,280.28878348214283,210.2905163599182
2006-12-31,271.6897835335336,278.13550302933675,206.75856339468305
2007-01-31,270.912037037037,278.77905771683675,207.0915498101081
2007-02-28,275.1308183183183,279.8511439732143,209.2655930470348
2007-03-31,278.5842717717718,282.11138791454084,210.36426380368096
2007-04-30,288.4532344844845,285.66665338010205,214.53525781478237
2007-05-31,292.2252877877878,290.033203125,217.5162868828513
